Language,Class,Code Smell #,Category,Code Smell,Method,Type,Identifier
Python,Shop,16,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`,Python_Shop_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Shop,17,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow,Python_Shop_ask_for_receipt_Speculative Generality
Python,Shop,18,Dispensables,Dead Code,another_unused_method,Unused method that can be removed,Python_Shop_another_unused_method_Dead Code
Python,Shop,19,Dispensables,Dead Code,yet_another_unused_method,Another unused method,Python_Shop_yet_another_unused_method_Dead Code
Python,Shop,20,Couplers,Message Chains,chain_of_methods,Excessive method chaining (`self.casher.chef.clean_kitchen()`),Python_Shop_chain_of_methods_Message Chains
Python,Shop,21,Couplers,Middle Man,middleman_method,Delegates work without adding value,Python_Shop_middleman_method_Middle Man
Python,Shop,22,Couplers,Inappropriate Intimacy,access_internal_details,Accesses internal attributes (`self.casher.chef.busy`),Python_Shop_access_internal_details_Inappropriate Intimacy
Python,Shop,23,Bloaters,Long Method,long_method,"Performs multiple actions in a single method, reducing readability",Python_Shop_long_method_Long Method
Python,Pizza,1,Bloaters,Large Class,Entire Class,"The class mixes pizza properties, customer management, complaints, and discounts, violating SRP",Python_Pizza_Entire Class_Large Class
Python,Pizza,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`bool`) for `extra_cheese` instead of a more expressive construct,Python_Pizza___init___Primitive Obsession
Python,Pizza,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`customer_first_name`, `customer_last_name`, `customer_address`, etc.) that should be encapsulated",Python_Pizza___init___Data Clumps
Python,Pizza,4,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)",Python_Pizza_order_with_unnecessary_details_Long Parameter List
Python,Pizza,5,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_Pizza_handle_complaint_Switch Statements
Python,Pizza,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions",Python_Pizza___init___Temporary Field
Python,Pizza,7,Change Preventers,Shotgun Surgery,update_customer_info,Multiple update methods modifying individual fields instead of a single encapsulated update,Python_Pizza_update_customer_info_Shotgun Surgery
Python,Pizza,8,Change Preventers,Shotgun Surgery,update_customer_name,Splitting name updates across different methods instead of a single encapsulated update,Python_Pizza_update_customer_name_Shotgun Surgery
Python,Pizza,9,Change Preventers,Shotgun Surgery,update_customer_address,"Similar to `update_customer_name`, updates should be encapsulated",Python_Pizza_update_customer_address_Shotgun Surgery
Python,Pizza,10,Change Preventers,Shotgun Surgery,update_customer_phone_number,Separate field update that contributes to shotgun surgery,Python_Pizza_update_customer_phone_number_Shotgun Surgery
Python,Pizza,11,Change Preventers,Shotgun Surgery,update_customer_email,Separate field update that contributes to shotgun surgery,Python_Pizza_update_customer_email_Shotgun Surgery
Python,Pizza,12,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns,Python_Pizza_notify_for_promotion_Divergent Change
Python,Pizza,13,Change Preventers,Divergent Change,notify_for_discount,"Related to `notify_for_promotion`, but managed separately",Python_Pizza_notify_for_discount_Divergent Change
Python,Pizza,14,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified,Python_Pizza_notify_for_new_arrivals_Divergent Change
Python,Pizza,15,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic,Python_Pizza_apply_discount_Parallel Inheritance Hierarchies
Python,Pizza,16,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`,Python_Pizza_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Pizza,17,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow,Python_Pizza_ask_for_receipt_Speculative Generality
Python,Pizza,18,Dispensables,Dead Code,another_unused_method,Unused method that can be removed,Python_Pizza_another_unused_method_Dead Code
Python,Pizza,19,Dispensables,Dead Code,yet_another_unused_method,Another unused method,Python_Pizza_yet_another_unused_method_Dead Code
Python,Pizza,20,Dispensables,Duplicate Code,duplicate_method,Repeated functionality with identical operations on the same attribute,Python_Pizza_duplicate_method_Duplicate Code
Python,Pizza,21,Couplers,Message Chains,chain_of_methods,"Excessive method chaining (`self.update_customer_address(""123 Street"")`)",Python_Pizza_chain_of_methods_Message Chains
Python,Pizza,22,Couplers,Middle Man,middleman_method,Delegates work without adding value,Python_Pizza_middleman_method_Middle Man
Python,Pizza,23,Couplers,Inappropriate Intimacy,access_internal_details,"Accesses internal attributes (`self.size`, `self.dough_type`, `self.topping`)",Python_Pizza_access_internal_details_Inappropriate Intimacy
Python,Pizza,24,Bloaters,Long Method,long_method,"Performs multiple actions in a single method, reducing readability",Python_Pizza_long_method_Long Method
Python,CheesePizza,25,Object-Orientation Abusers,Refused Bequest,__init__,Subclass inherits but does not use `cheese_type`,Python_CheesePizza___init___Refused Bequest
Python,CheesePizza,26,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_CheesePizza_handle_complaint_Switch Statements
Python,Drink,1,Dispensables,Data Class,Entire Class,Class only stores data (`drink_type`) without meaningful behavior,Python_Drink_Entire Class_Data Class
Python,Drink,2,Bloaters,Primitive Obsession,create_order,Uses a primitive (`string`) instead of a more expressive object for drink type,Python_Drink_create_order_Primitive Obsession
Python,Drink,3,Bloaters,Primitive Obsession,add_to_order,Uses a primitive (`string`) instead of an object for order processing,Python_Drink_add_to_order_Primitive Obsession
Python,Drink,4,Bloaters,Primitive Obsession,confirm_order,Uses a primitive (`string`) instead of an object for order confirmation,Python_Drink_confirm_order_Primitive Obsession
Python,Customer,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: ordering, complaints, contact updates, notifications, and discounts",Python_Customer_Entire Class_Large Class
Python,Customer,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct,Python_Customer___init___Primitive Obsession
Python,Customer,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated",Python_Customer___init___Data Clumps
Python,Customer,4,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)",Python_Customer_order_with_unnecessary_details_Long Parameter List
Python,Customer,5,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_Customer_handle_complaint_Switch Statements
Python,Customer,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions",Python_Customer___init___Temporary Field
Python,Customer,7,Object-Orientation Abusers,Refused Bequest,refused_bequest,Method is meant for inheritance but is empty,Python_Customer_refused_bequest_Refused Bequest
Python,Customer,8,Change Preventers,Shotgun Surgery,update_contact_info,Multiple update methods modifying individual fields instead of a single encapsulated update,Python_Customer_update_contact_info_Shotgun Surgery
Python,Customer,9,Change Preventers,Shotgun Surgery,update_name,Splitting name updates across different methods instead of a single encapsulated update,Python_Customer_update_name_Shotgun Surgery
Python,Customer,10,Change Preventers,Shotgun Surgery,update_address,"Similar to `update_name`, updates should be encapsulated",Python_Customer_update_address_Shotgun Surgery
Python,Customer,11,Change Preventers,Shotgun Surgery,update_phone_number,Separate field update that contributes to shotgun surgery,Python_Customer_update_phone_number_Shotgun Surgery
Python,Customer,12,Change Preventers,Shotgun Surgery,update_email,Separate field update that contributes to shotgun surgery,Python_Customer_update_email_Shotgun Surgery
Python,Customer,13,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns,Python_Customer_notify_for_promotion_Divergent Change
Python,Customer,14,Change Preventers,Divergent Change,notify_for_discount,"Related to `notify_for_promotion`, but managed separately",Python_Customer_notify_for_discount_Divergent Change
Python,Customer,15,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified,Python_Customer_notify_for_new_arrivals_Divergent Change
Python,Customer,16,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic,Python_Customer_apply_discount_Parallel Inheritance Hierarchies
Python,Customer,17,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`,Python_Customer_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Customer,18,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow,Python_Customer_ask_for_receipt_Speculative Generality
Python,Customer,19,Dispensables,Dead Code,another_unused_method,Unused method that can be removed,Python_Customer_another_unused_method_Dead Code
Python,Customer,20,Dispensables,Dead Code,yet_another_unused_method,Another unused method,Python_Customer_yet_another_unused_method_Dead Code
Python,Customer,21,Dispensables,Duplicate Code,duplicate_complaint,Repeated functionality with identical operations on the same attribute,Python_Customer_duplicate_complaint_Duplicate Code
Python,Customer,22,Couplers,Feature Envy,order_pizza,Excessive reliance on another class (`pizza_shop`) for core functionality,Python_Customer_order_pizza_Feature Envy
Python,Customer,23,Couplers,Inappropriate Intimacy,complain,Accessing another object's internal details (`self.pizza_shop.casher.chef.clean_kitchen()`),Python_Customer_complain_Inappropriate Intimacy
Python,Customer,24,Couplers,Message Chains,chain_of_methods,Excessive method chaining (`self.pizza_shop.casher.chef.clean_kitchen()`),Python_Customer_chain_of_methods_Message Chains
Python,Customer,25,Couplers,Middle Man,middleman_method,Delegates work without adding value,Python_Customer_middleman_method_Middle Man
Python,Customer,26,Bloaters,Long Method,long_complaint_method,"Performs multiple actions in a single method, reducing readability",Python_Customer_long_complaint_method_Long Method
Python,Customer,27,Dispensables,Unnecessary Comments,order_drink,Over-commenting explaining self-explanatory steps,Python_Customer_order_drink_Unnecessary Comments
Python,Chef,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts",Python_Chef_Entire Class_Large Class
Python,Chef,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct,Python_Chef___init___Primitive Obsession
Python,Chef,3,Bloaters,Data Clumps,__init__,"Grouped chef details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated",Python_Chef___init___Data Clumps
Python,Chef,4,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)",Python_Chef_order_with_unnecessary_details_Long Parameter List
Python,Chef,5,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_Chef_handle_complaint_Switch Statements
Python,Chef,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions",Python_Chef___init___Temporary Field
Python,Chef,7,Object-Orientation Abusers,Refused Bequest,refused_bequest,Method is meant for inheritance but is empty,Python_Chef_refused_bequest_Refused Bequest
Python,Chef,8,Change Preventers,Shotgun Surgery,update_contact_info,Multiple update methods modifying individual fields instead of a single encapsulated update,Python_Chef_update_contact_info_Shotgun Surgery
Python,Chef,9,Change Preventers,Shotgun Surgery,update_name,Splitting name updates across different methods instead of a single encapsulated update,Python_Chef_update_name_Shotgun Surgery
Python,Chef,10,Change Preventers,Shotgun Surgery,update_address,"Similar to `update_name`, updates should be encapsulated",Python_Chef_update_address_Shotgun Surgery
Python,Chef,11,Change Preventers,Shotgun Surgery,update_phone_number,Separate field update that contributes to shotgun surgery,Python_Chef_update_phone_number_Shotgun Surgery
Python,Chef,12,Change Preventers,Shotgun Surgery,update_email,Separate field update that contributes to shotgun surgery,Python_Chef_update_email_Shotgun Surgery
Python,Chef,13,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns,Python_Chef_notify_for_promotion_Divergent Change
Python,Chef,14,Change Preventers,Divergent Change,notify_for_discount,"Related to `notify_for_promotion`, but managed separately",Python_Chef_notify_for_discount_Divergent Change
Python,Chef,15,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified,Python_Chef_notify_for_new_arrivals_Divergent Change
Python,Chef,16,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic,Python_Chef_apply_discount_Parallel Inheritance Hierarchies
Python,Chef,17,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`,Python_Chef_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Chef,18,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow,Python_Chef_ask_for_receipt_Speculative Generality
Python,Chef,19,Dispensables,Dead Code,another_unused_method,Unused method that can be removed,Python_Chef_another_unused_method_Dead Code
Python,Chef,20,Dispensables,Dead Code,yet_another_unused_method,Another unused method,Python_Chef_yet_another_unused_method_Dead Code
Python,Chef,21,Dispensables,Duplicate Code,duplicate_method,Repeated functionality with identical operations on the same attribute,Python_Chef_duplicate_method_Duplicate Code
Python,Chef,22,Couplers,Inappropriate Intimacy,access_internal_details,Accesses internal details of the `Pizza` object directly,Python_Chef_access_internal_details_Inappropriate Intimacy
Python,Chef,23,Couplers,Message Chains,chain_of_methods,Excessive method chaining (`self.clean_kitchen()`),Python_Chef_chain_of_methods_Message Chains
Python,Chef,24,Couplers,Middle Man,middleman_method,Delegates work without adding value,Python_Chef_middleman_method_Middle Man
Python,Chef,25,Bloaters,Long Method,long_method,"Performs multiple actions in a single method, reducing readability",Python_Chef_long_method_Long Method
Python,Cashier,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries",Python_Cashier_Entire Class_Large Class
Python,Cashier,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct,Python_Cashier___init___Primitive Obsession
Python,Cashier,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated",Python_Cashier___init___Data Clumps
Python,Cashier,4,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)",Python_Cashier_order_with_unnecessary_details_Long Parameter List
Python,Cashier,5,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_Cashier_handle_complaint_Switch Statements
Python,Cashier,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions",Python_Cashier___init___Temporary Field
Python,Cashier,7,Object-Orientation Abusers,Refused Bequest,refused_bequest,Method is meant for inheritance but is empty,Python_Cashier_refused_bequest_Refused Bequest
Python,Cashier,8,Change Preventers,Shotgun Surgery,update_contact_info,Multiple update methods modifying individual fields instead of a single encapsulated update,Python_Cashier_update_contact_info_Shotgun Surgery
Python,Cashier,9,Change Preventers,Shotgun Surgery,update_name,Splitting name updates across different methods instead of a single encapsulated update,Python_Cashier_update_name_Shotgun Surgery
Python,Cashier,10,Change Preventers,Shotgun Surgery,update_address,"Similar to `update_name`, updates should be encapsulated",Python_Cashier_update_address_Shotgun Surgery
Python,Cashier,11,Change Preventers,Shotgun Surgery,update_phone_number,Separate field update that contributes to shotgun surgery,Python_Cashier_update_phone_number_Shotgun Surgery
Python,Cashier,12,Change Preventers,Shotgun Surgery,update_email,Separate field update that contributes to shotgun surgery,Python_Cashier_update_email_Shotgun Surgery
Python,Cashier,13,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns,Python_Cashier_notify_for_promotion_Divergent Change
Python,Cashier,14,Change Preventers,Divergent Change,notify_for_discount,"Related to `notify_for_promotion`, but managed separately",Python_Cashier_notify_for_discount_Divergent Change
Python,Cashier,15,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified,Python_Cashier_notify_for_new_arrivals_Divergent Change
Python,Cashier,16,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic,Python_Cashier_apply_discount_Parallel Inheritance Hierarchies
Python,Cashier,17,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`,Python_Cashier_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Cashier,18,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow,Python_Cashier_ask_for_receipt_Speculative Generality
Python,Cashier,19,Dispensables,Dead Code,another_unused_method,Unused method that can be removed,Python_Cashier_another_unused_method_Dead Code
Python,Cashier,20,Dispensables,Dead Code,yet_another_unused_method,Another unused method,Python_Cashier_yet_another_unused_method_Dead Code
Python,Cashier,21,Dispensables,Duplicate Code,duplicate_method,Repeated functionality with identical operations on the same attribute,Python_Cashier_duplicate_method_Duplicate Code
Python,Cashier,22,Couplers,Feature Envy,take_order,Excessive reliance on another class (`chef`) for core functionality,Python_Cashier_take_order_Feature Envy
Python,Cashier,23,Couplers,Inappropriate Intimacy,calm_customer_down,Accessing internal methods of `chef` (`clean_kitchen()`),Python_Cashier_calm_customer_down_Inappropriate Intimacy
Python,Cashier,24,Couplers,Message Chains,chain_of_methods,Excessive method chaining (`self.chef.clean_kitchen()`),Python_Cashier_chain_of_methods_Message Chains
Python,Cashier,25,Couplers,Middle Man,middleman_method,Delegates work without adding value,Python_Cashier_middleman_method_Middle Man
Python,Cashier,26,Bloaters,Long Method,long_method,"Performs multiple actions in a single method, reducing readability",Python_Cashier_long_method_Long Method
Java,Shop,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: order processing, customer contact updates, notifications, and discounts",Java_Shop_Entire Class_Large Class
Java,Shop,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,Java_Shop___init___Primitive Obsession
Java,Shop,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",Java_Shop___init___Data Clumps
Java,Shop,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Shop_handleComplaint_Switch Statements
Java,Shop,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Shop_updateContactInfo_Shotgun Surgery
Java,Shop,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,Java_Shop_updateName_Shotgun Surgery
Java,Shop,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",Java_Shop_updateAddress_Shotgun Surgery
Java,Shop,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,Java_Shop_updatePhoneNumber_Shotgun Surgery
Java,Shop,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,Java_Shop_updateEmail_Shotgun Surgery
Java,Shop,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Shop_notifyForPromotion_Divergent Change
Java,Shop,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Shop_notifyForDiscount_Divergent Change
Java,Shop,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Shop_notifyForNewArrivals_Divergent Change
Java,Shop,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Shop_applyDiscount_Parallel Inheritance Hierarchies
Java,Shop,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Shop_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Shop,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Shop_askForReceipt_Speculative Generality
Java,Shop,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Shop_anotherUnusedMethod_Dead Code
Java,Pizza,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: pizza properties, customer info, notifications, and complaints",Java_Pizza_Entire Class_Large Class
Java,Pizza,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `extraCheese` instead of a more expressive construct,Java_Pizza___init___Primitive Obsession
Java,Pizza,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`customerFirstName`, `customerLastName`, `customerAddress`, etc.) should be encapsulated",Java_Pizza___init___Data Clumps
Java,Pizza,4,Bloaters,Long Parameter List,orderWithUnnecessaryDetails,"Method receives multiple unrelated parameters (`pizzaType`, `size`, `crustType`, etc.)",Java_Pizza_orderWithUnnecessaryDetails_Long Parameter List
Java,Pizza,5,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Pizza_handleComplaint_Switch Statements
Java,Pizza,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`tempDiscountCode`, `tempOrderNote`) used only under specific conditions",Java_Pizza___init___Temporary Field
Java,Pizza,7,Change Preventers,Shotgun Surgery,updateCustomerInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Pizza_updateCustomerInfo_Shotgun Surgery
Java,Pizza,8,Change Preventers,Shotgun Surgery,updateCustomerName,Splitting name updates across different methods instead of a single encapsulated update,Java_Pizza_updateCustomerName_Shotgun Surgery
Java,Pizza,9,Change Preventers,Shotgun Surgery,updateCustomerAddress,"Similar to `updateCustomerName`, updates should be encapsulated",Java_Pizza_updateCustomerAddress_Shotgun Surgery
Java,Pizza,10,Change Preventers,Shotgun Surgery,updateCustomerPhoneNumber,Separate field update that contributes to shotgun surgery,Java_Pizza_updateCustomerPhoneNumber_Shotgun Surgery
Java,Pizza,11,Change Preventers,Shotgun Surgery,updateCustomerEmail,Separate field update that contributes to shotgun surgery,Java_Pizza_updateCustomerEmail_Shotgun Surgery
Java,Pizza,12,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Pizza_notifyForPromotion_Divergent Change
Java,Pizza,13,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Pizza_notifyForDiscount_Divergent Change
Java,Pizza,14,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Pizza_notifyForNewArrivals_Divergent Change
Java,Pizza,15,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Pizza_applyDiscount_Parallel Inheritance Hierarchies
Java,Pizza,16,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Pizza_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Pizza,17,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Pizza_askForReceipt_Speculative Generality
Java,Pizza,18,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Pizza_anotherUnusedMethod_Dead Code
Java,Pizza,19,Dispensables,Dead Code,yetAnotherUnusedMethod,Another unused method,Java_Pizza_yetAnotherUnusedMethod_Dead Code
Java,Pizza,20,Dispensables,Duplicate Code,duplicateMethod,Repeated functionality with identical operations on the same attribute,Java_Pizza_duplicateMethod_Duplicate Code
Java,Pizza,21,Couplers,Message Chains,chainOfMethods,"Excessive method chaining (`this.updateCustomerAddress(""123 Street"")`)",Java_Pizza_chainOfMethods_Message Chains
Java,Pizza,22,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,Java_Pizza_middlemanMethod_Middle Man
Java,Pizza,23,Couplers,Inappropriate Intimacy,accessInternalDetails,"Accesses internal attributes (`this.size`, `this.doughType`, `this.topping`)",Java_Pizza_accessInternalDetails_Inappropriate Intimacy
Java,Pizza,24,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",Java_Pizza_longMethod_Long Method
Java,CheesePizza,25,Object-Orientation Abusers,Refused Bequest,__init__,Subclass inherits but does not use `cheeseType`,Java_CheesePizza___init___Refused Bequest
Java,CheesePizza,26,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_CheesePizza_handleComplaint_Switch Statements
Java,Drink,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: drink properties, customer info, notifications, and complaints",Java_Drink_Entire Class_Large Class
Java,Drink,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `isLargeSize` instead of a more expressive construct,Java_Drink___init___Primitive Obsession
Java,Drink,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`customerFirstName`, `customerLastName`, `customerAddress`, etc.) should be encapsulated",Java_Drink___init___Data Clumps
Java,Drink,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Drink_handleComplaint_Switch Statements
Java,Drink,5,Change Preventers,Shotgun Surgery,updateCustomerInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Drink_updateCustomerInfo_Shotgun Surgery
Java,Drink,6,Change Preventers,Shotgun Surgery,updateCustomerName,Splitting name updates across different methods instead of a single encapsulated update,Java_Drink_updateCustomerName_Shotgun Surgery
Java,Drink,7,Change Preventers,Shotgun Surgery,updateCustomerAddress,"Similar to `updateCustomerName`, updates should be encapsulated",Java_Drink_updateCustomerAddress_Shotgun Surgery
