Model,Language,Code Smell,True Positives (TP),False Positives (FP),False Negatives (FN),Precision,Recall,F1-score
DeepSeek,JavaScript,Duplicate Code,4,4,0,0.5,1.0,0.6666666666666666
GPT-4,JavaScript,Refused Bequest,0,1,1,0.0,0.0,0.0
DeepSeek,JavaScript,Refused Bequest,0,3,1,0.0,0.0,0.0
GPT-4,JavaScript,Data Class,1,0,0,1.0,1.0,1.0
DeepSeek,JavaScript,Data Class,0,2,1,0.0,0.0,0.0
GPT-4,JavaScript,Feature Envy,0,0,1,0.0,0.0,0.0
DeepSeek,JavaScript,Feature Envy,0,3,1,0.0,0.0,0.0
GPT-4,JavaScript,Unnecessary Comments,0,0,0,0.0,0.0,0.0
DeepSeek,JavaScript,Unnecessary Comments,0,0,0,0.0,0.0,0.0
GPT-4,C++,Large Class,6,0,0,1.0,1.0,1.0
DeepSeek,C++,Large Class,0,6,6,0.0,0.0,0.0
GPT-4,C++,Primitive Obsession,0,2,5,0.0,0.0,0.0
DeepSeek,C++,Primitive Obsession,0,3,5,0.0,0.0,0.0
GPT-4,C++,Data Clumps,0,5,5,0.0,0.0,0.0
DeepSeek,C++,Data Clumps,0,6,5,0.0,0.0,0.0
GPT-4,C++,Long Parameter List,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
DeepSeek,C++,Long Parameter List,2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444
GPT-4,C++,Switch Statements,6,0,0,1.0,1.0,1.0
DeepSeek,C++,Switch Statements,5,0,1,1.0,0.8333333333333334,0.9090909090909091
GPT-4,C++,Temporary Field,0,0,2,0.0,0.0,0.0
DeepSeek,C++,Temporary Field,0,0,2,0.0,0.0,0.0
GPT-4,C++,Shotgun Surgery,0,0,5,0.0,0.0,0.0
DeepSeek,C++,Shotgun Surgery,0,2,5,0.0,0.0,0.0
GPT-4,C++,Divergent Change,0,0,18,0.0,0.0,0.0
DeepSeek,C++,Divergent Change,0,3,18,0.0,0.0,0.0
GPT-4,C++,Parallel Inheritance Hierarchies,0,0,12,0.0,0.0,0.0
DeepSeek,C++,Parallel Inheritance Hierarchies,0,0,12,0.0,0.0,0.0
GPT-4,C++,Speculative Generality,0,0,6,0.0,0.0,0.0
DeepSeek,C++,Speculative Generality,0,7,6,0.0,0.0,0.0
GPT-4,C++,Dead Code,6,1,0,0.8571428571428571,1.0,0.923076923076923
DeepSeek,C++,Dead Code,6,5,0,0.5454545454545454,1.0,0.7058823529411764
GPT-4,C++,Message Chains,6,0,0,1.0,1.0,1.0
DeepSeek,C++,Message Chains,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
GPT-4,C++,Middle Man,6,0,0,1.0,1.0,1.0
DeepSeek,C++,Middle Man,5,0,1,1.0,0.8333333333333334,0.9090909090909091
GPT-4,C++,Inappropriate Intimacy,6,0,0,1.0,1.0,1.0
DeepSeek,C++,Inappropriate Intimacy,3,0,3,1.0,0.5,0.6666666666666666
GPT-4,C++,Long Method,5,0,1,1.0,0.8333333333333334,0.9090909090909091
DeepSeek,C++,Long Method,5,0,1,1.0,0.8333333333333334,0.9090909090909091
GPT-4,C++,Duplicate Code,3,3,0,0.5,1.0,0.6666666666666666
DeepSeek,C++,Duplicate Code,3,2,0,0.6,1.0,0.7499999999999999
GPT-4,C++,Refused Bequest,0,1,1,0.0,0.0,0.0
DeepSeek,C++,Refused Bequest,0,6,1,0.0,0.0,0.0
GPT-4,C++,Data Class,0,0,0,0.0,0.0,0.0
DeepSeek,C++,Data Class,0,3,0,0.0,0.0,0.0
GPT-4,C++,Feature Envy,0,0,1,0.0,0.0,0.0
DeepSeek,C++,Feature Envy,0,3,1,0.0,0.0,0.0
GPT-4,C++,Unnecessary Comments,0,0,0,0.0,0.0,0.0
DeepSeek,C++,Unnecessary Comments,0,0,0,0.0,0.0,0.0
